user,song,time,frequency,confidence,note,score
Earth,รักแรกพบ,0.0,102.04332019950346,0.28994372,G♯2,0.700138667137309
Earth,รักแรกพบ,0.01,102.73235709724298,0.2003186,G♯2,0.8166455351604285
Earth,รักแรกพบ,0.02,105.75339767543953,0.2777298,G♯2,0.6815941000890895
Earth,รักแรกพบ,0.03,106.34514802442376,0.13161635,G♯2,0.5849917393834636
Earth,รักแรกพบ,0.04,118.68805561419563,0.10742083,A♯2,0.683945236081752
Earth,รักแรกพบ,0.05,135.7345699590821,0.16758482,C♯3,0.6394161701409871
Earth,รักแรกพบ,0.06,149.6076325513361,0.19161993,D3,0.6758369339179429
Earth,รักแรกพบ,0.07,148.84787059336688,0.21896362,D3,0.7639792933795254
Earth,รักแรกพบ,0.08,149.49109785356046,0.20994729,D3,0.6893273854904036
Earth,รักแรกพบ,0.09,151.426993008891,0.24551284,D♯3,0.533426509844533
Earth,รักแรกพบ,0.1,150.7932289650603,0.16825242,D3,0.5391824964558232
Earth,รักแรกพบ,0.11,145.6043037404319,0.14137582,D3,0.8545937034084077
Earth,รักแรกพบ,0.12,144.23275892446102,0.1352209,D3,0.690744208976597
Earth,รักแรกพบ,0.13,142.39887439468347,0.19014731,C♯3,0.5307893758328498
Earth,รักแรกพบ,0.14,143.6853795914633,0.1967935,D3,0.6249169647707516
Earth,รักแรกพบ,0.15,146.2312500278223,0.43851942,D3,0.9289775415252597
Earth,รักแรกพบ,0.16,146.37594623442916,0.6047341,D3,0.9460996781827014
Earth,รักแรกพบ,0.17,146.17055669896695,0.6086836,D3,0.9217905572756825
Earth,รักแรกพบ,0.18,144.8711456180572,0.7632631,D3,0.7672010509189967
Earth,รักแรกพบ,0.19,145.00929043885967,0.09920644,D3,0.7837017184930972
Earth,รักแรกพบ,0.2,144.3024247282909,0.21650198,D3,0.6991042164088068
Earth,รักแรกพบ,0.21,143.2341548281895,0.21273823,D3,0.5704643239247104
Earth,รักแรกพบ,0.22,143.0557910448571,0.17591794,D3,0.5488925223837176
Earth,รักแรกพบ,0.23,142.07968085462096,0.13281731,C♯3,0.5696393310579597
Earth,รักแรกพบ,0.24,142.901532256369,0.14424339,D3,0.5302143441282874
Earth,รักแรกพบ,0.25,143.95181523935318,0.17930695,D3,0.6569894926444009
Earth,รักแรกพบ,0.26,144.01752746269088,0.37722778,D3,0.664890558736317
Earth,รักแรกพบ,0.27,144.8243665860737,0.16776624,D3,0.7616099768260665
Earth,รักแรกพบ,0.28,145.3575183190113,0.12968092,D3,0.8252260410941684
Earth,รักแรกพบ,0.29,146.63472689243716,0.26146197,D3,0.9766794518193129
Earth,รักแรกพบ,0.3,149.14100134836818,0.3608259,D3,0.72991908809274
Earth,รักแรกพบ,0.31,149.8889647279859,0.2829552,D3,0.643312224723016
Earth,รักแรกพบ,0.32,148.18859074679642,0.105557546,D3,0.8408297640145939
Earth,รักแรกพบ,0.33,147.34563313286824,0.21667264,D3,0.9395906358793117
