Name,Album,Artist,Genre,Subgenre,Publish Date,Duration,BPM,Vocal Rage,E2_binary,F2_binary,F♯2_binary,G2_binary,G♯2_binary,A2_binary,A♯2_binary,B2_binary,C3_binary,C♯3_binary,D3_binary,D♯3_binary,E3_binary,F3_binary,F♯3_binary,G3_binary,G♯3_binary,A3_binary,A♯3_binary,B3_binary,C4_binary,C♯4_binary,D4_binary,D♯4_binary,E4_binary,F4_binary,F♯4_binary,G4_binary,G♯4_binary,A4_binary,A♯4_binary,B4_binary,C5_binary,C♯5_binary,D5_binary,D♯5_binary,E5_binary,F5_binary,F♯5_binary,G5_binary,G♯5_binary,A5_binary,A♯5_binary,B5_binary,C6_binary,E2_freq,F2_freq,F♯2_freq,G2_freq,G♯2_freq,A2_freq,A♯2_freq,B2_freq,C3_freq,C♯3_freq,D3_freq,D♯3_freq,E3_freq,F3_freq,F♯3_freq,G3_freq,G♯3_freq,A3_freq,A♯3_freq,B3_freq,C4_freq,C♯4_freq,D4_freq,D♯4_freq,E4_freq,F4_freq,F♯4_freq,G4_freq,G♯4_freq,A4_freq,A♯4_freq,B4_freq,C5_freq,C♯5_freq,D5_freq,D♯5_freq,E5_freq,F5_freq,F♯5_freq,G5_freq,G♯5_freq,A5_freq,A♯5_freq,B5_freq,C6_freq,D1_binary,E1_binary,F1_binary,G1_binary,A1_binary,B1_binary,C♯2_binary,D♯2_binary,C♯6_binary,D1_freq,E1_freq,F1_freq,G1_freq,A1_freq,B1_freq,C♯2_freq,D♯2_freq,C♯6_freq,C1_binary,C♯1_binary,D♯1_binary,F♯1_binary,G♯1_binary,A♯1_binary,C2_binary,D2_binary,D6_binary,D♯6_binary,F6_binary,F♯6_binary,G6_binary,A6_binary,B6_binary,C1_freq,C♯1_freq,D♯1_freq,F♯1_freq,G♯1_freq,A♯1_freq,C2_freq,D2_freq,D6_freq,D♯6_freq,F6_freq,F♯6_freq,G6_freq,A6_freq,B6_freq,E6_binary,G♯6_binary,A♯6_binary,E6_freq,G♯6_freq,A♯6_freq
คืนที่ดาวเต็มฟ้า,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,49,3,13,42,227,68,252,181,370,1944,493,1289,334,915,373,668,2713,806,1561,529,1100,3382,481,1864,585,844,117,72,336,81,206,16,9,16,10,88,10,2,5,24,234,9,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,41.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,143.0,,,,,,
คุกเข่า,,,,,,,,,0,,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,,0,0,1,,27,21,79,87,106,112,468,1372,660,930,479,1156,955,768,2274,952,1694,490,1034,3825,853,3030,758,1057,674,177,680,141,271,29,61,687,33,15,,3,2,3,1,4,,2,4,,0.0,0.0,0.0,,0.0,0.0,,0.0,,12.0,211.0,1.0,,1.0,1.0,,4.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,1.0,1.0,3.0,5.0,7.0,50.0,3.0,,,0.0,,,27.0,
คู่ชีวิต,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59,29,16,36,43,111,451,307,842,382,727,557,1495,3861,1316,3913,1094,2213,1003,1114,3794,1024,2248,475,1142,1047,440,874,220,743,102,96,308,21,15,11,40,98,36,136,3,56,2,,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,145.0,451.0,190.0,19.0,10.0,7.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,75.0,23.0,47.0,94.0,48.0,20.0,7.0,4.0,4.0,4.0,3.0,8.0,17.0,,,0.0,0.0,,4.0,3.0,
งานเต้นรำในคืนพระจันทร์เต็มดวง,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44,24,14,14,68,30,118,248,418,966,1420,1948,698,1516,5596,2232,4782,2650,4338,1814,2382,5512,1272,3132,752,2412,1966,766,1710,294,1040,362,566,552,252,1428,150,304,282,84,198,52,538,56,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,294.0,878.0,10.0,8.0,6.0,8.0,24.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,410.0,82.0,132.0,48.0,14.0,14.0,12.0,16.0,40.0,748.0,,2.0,,,736.0,0.0,0.0,0.0,6.0,2.0,2.0
จดจำ,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,8,12,5,6,5,12,232,62,68,222,578,957,1580,709,1948,1281,1347,5247,2466,4087,1207,2944,2127,569,2165,575,401,162,338,636,224,174,104,33,16,13,394,2,43,,1,,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,337.0,1.0,1.0,1.0,2.0,6.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,3.0,,10.0,5.0,1.0,2.0,1.0,1.0,,1.0,,1.0,,,86.0,0.0,0.0,0.0,1.0,1.0,1.0
จดหมายจากใครคนหนึ่ง,,,,,,,,,,,,,,,,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,,0,0,,0,,0,0,,,0,0,,0,,0,0,,,,,,,,,30,1218,3686,2912,6116,810,2518,1612,2742,9250,2708,5494,1372,4158,902,1550,4278,1092,372,52,,2,2,,2,,2,2,,,2,2,,2,,2,2,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,2.0,,2.0,2.0,2.0,,252.0,,0.0,0.0,,2.0,10.0
จักรวาลสมมติ,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,12,14,36,144,602,1056,494,748,292,552,6142,1366,5316,2214,8330,5622,3154,7138,734,846,484,788,994,134,44,22,42,36,22,10,24,26,82,10,14,22,6,10,20,12,8,8,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,66.0,2.0,2.0,2.0,2.0,16.0,14.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,10.0,12.0,4.0,40.0,180.0,662.0,0.0,0.0,0.0,12.0,110.0,50.0
ชิว,,,,,,,,,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,18,34,18,46,276,124,1550,772,4912,1222,6044,778,894,8568,1048,5014,562,2142,5012,562,464,298,214,26,106,570,26,2,8,8,28,2,2,126,60,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,52.0,816.0,18.0,82.0,188.0,4.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,254.0,38.0,10.0,12.0,56.0,78.0,40.0,4.0,,,,,,,,,,,,,
ช่างมัน,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3,2,1,2,1,1,12,72,458,300,740,1695,710,1727,1211,2171,4987,1694,3548,1310,2075,752,655,2454,426,426,124,42,107,22,16,27,105,18,24,92,23,22,18,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,8.0,1.0,2.0,1.0,3.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,58.0,8.0,1.0,4.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,
ดวงตานั้น,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,16,16,22,48,34,54,454,86,164,428,690,822,628,2726,1576,2266,2572,5936,6998,2416,3570,2166,4042,2556,464,1620,338,192,54,60,138,6,10,8,46,10,6,4,2,4,4,4,2,42,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,36.0,44.0,6.0,8.0,,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,10.0,2.0,18.0,14.0,12.0,4.0,4.0,20.0,2.0,,,2.0,,,430.0,0.0,0.0,0.0,2.0,2.0,2.0
